day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
35,3.889,1.111,3.889,3.633,4.444,3.822,3.172,3.801,5.183,2.901,3.333,4.488,,,,5.000,3.889,3.333,3.333,3.333,5.000,3.889,1.111,,,,,,,
36,3.889,1.111,3.889,3.758,3.889,3.889,3.247,3.856,5.196,2.839,,4.403,,,,5.000,3.889,3.333,3.333,3.333,5.556,3.889,1.111,,,,,,,
37,3.889,1.111,3.889,3.841,3.889,3.951,3.312,3.764,5.192,2.918,,4.315,,,,5.000,3.889,3.333,3.333,3.333,5.556,3.889,1.111,,,,,,,
38,4.444,1.667,3.889,3.950,3.889,4.008,3.254,3.693,5.117,2.964,3.333,4.247,,,,5.000,3.889,3.333,3.333,3.333,5.556,4.444,1.111,,,,,,,
39,4.444,1.667,3.889,4.029,3.889,4.018,3.089,3.693,5.112,3.106,3.333,4.153,,,,5.000,3.889,3.333,3.333,2.778,5.556,4.444,1.111,,,,,,,
40,4.444,1.667,3.889,4.152,3.889,4.020,3.101,3.685,5.038,3.218,3.333,4.057,,,,5.000,3.889,3.333,3.333,2.778,5.556,4.444,1.111,,,,,,,
41,4.444,,3.593,4.206,,3.966,3.085,3.668,5.021,3.297,3.333,3.963,,,,5.000,3.889,3.333,3.333,2.778,5.556,4.444,,,,,,,,
42,4.444,1.667,3.504,4.269,3.333,3.920,3.022,3.685,4.996,3.381,3.333,3.858,,,,5.000,3.889,3.333,3.889,2.778,5.556,4.444,,,,,,,,
43,4.444,2.222,3.420,4.348,3.333,3.900,3.010,3.643,5.167,3.431,3.333,3.796,,,,5.000,3.889,3.333,3.889,2.778,5.556,4.444,,,,,,,,
44,4.444,2.778,3.441,4.423,3.333,3.887,3.010,3.631,5.079,3.493,3.333,3.735,,,,5.000,3.889,3.333,3.889,2.222,6.667,4.444,,,,,,,,
45,3.333,3.333,3.587,4.519,3.333,3.950,3.051,3.542,5.125,3.539,3.333,3.775,,,,5.556,3.889,2.778,3.889,2.222,6.667,4.444,1.667,,,,,,,
46,3.889,3.333,3.779,4.621,3.333,3.912,3.156,3.506,5.150,3.622,3.333,3.813,,,,5.556,3.889,2.778,3.889,2.222,6.667,4.444,1.667,,,,,,,
47,3.889,3.333,3.854,4.717,3.333,3.845,3.214,3.468,5.175,3.685,3.333,3.865,,,,5.556,,2.778,3.889,2.222,6.111,4.444,2.222,,,,,,,
48,3.889,3.333,4.008,4.742,3.333,3.800,3.301,3.460,5.196,3.700,3.333,3.629,,,,5.556,3.889,2.778,3.889,2.222,6.111,5.000,2.222,,,,,,,
49,3.889,4.444,4.314,4.625,3.333,3.770,3.360,3.531,5.311,3.837,3.333,3.471,,,,5.556,4.444,2.778,3.889,2.778,6.111,5.000,2.222,,,,,,,
50,3.889,4.444,4.573,4.688,3.889,3.862,3.447,3.651,5.390,3.995,3.889,3.267,,,,5.556,3.889,2.778,3.889,2.778,5.556,5.000,2.222,,,,,,,
51,4.444,4.444,4.881,4.700,3.889,3.870,3.506,3.722,5.481,4.075,,3.025,,,,5.556,3.889,3.333,3.889,2.778,5.556,5.000,2.778,,,,,,,
52,4.444,4.444,5.027,4.763,4.444,4.016,3.497,3.785,5.569,4.095,4.444,3.087,,,,5.556,3.889,,3.889,2.778,5.556,5.556,2.778,,,,,,,
53,4.444,4.444,5.098,4.808,4.444,4.075,3.510,3.839,5.615,4.206,4.444,3.200,,,,5.556,3.889,3.333,3.889,2.778,6.111,5.556,3.333,,,,,,,
54,4.444,4.444,5.139,4.896,4.444,4.137,3.593,3.856,5.581,4.285,4.444,3.292,,,,5.556,3.889,3.333,3.889,3.333,6.111,5.556,3.333,,,,,,,
55,4.444,4.444,5.283,4.925,4.444,4.220,3.668,3.814,5.644,4.339,4.444,3.408,,,,5.556,3.889,3.333,3.889,3.333,6.111,5.556,3.333,,,,,,,
56,4.444,4.444,5.250,4.971,5.000,4.358,3.839,3.735,5.420,4.398,4.444,3.408,,,,4.444,3.889,3.333,3.889,3.333,6.111,5.556,3.333,,,,,,,
57,5.000,4.444,5.365,4.971,5.000,4.466,3.875,3.739,5.194,4.448,,3.400,,,,4.444,3.889,,3.889,3.333,6.111,5.556,3.333,,,,,,,
58,5.556,4.444,5.444,4.954,5.000,4.619,4.039,3.656,5.090,4.464,4.444,3.400,,,,4.444,3.889,3.889,3.889,3.333,6.111,5.556,3.889,,,,,,,
