"","event_site_name","site_class","state"
"1","BO1 - Bonneville Bradford Is. Ladder","BON (adult)","mainstem, BON to MCN"
"2","BO2-BO3-BO4","BON (adult)","mainstem, BON to MCN"
"3","BON - Bonneville Dam Complex","BON (adult)","mainstem, BON to MCN"
"4","MC1 - McNary Oregon Shore Ladder","MCN (adult)","mainstem, MCN to ICH or PRA"
"5","MC2 - McNary Washington Shore Ladder","MCN (adult)","mainstem, MCN to ICH or PRA"
"6","PRA1 - Priest Rapids Adult West Ladder","PRA (adult)","mainstem, PRA to RIS"
"7","PRA2 - Priest Rapids Adult East Ladder","PRA (adult)","mainstem, PRA to RIS"
"8","RIA1 - Rock Island Adult Left Ladder","RIS (adult)","mainstem, RIS to RRE"
"9","RIA2 - Rock Island Adult Middle Ladder","RIS (adult)","mainstem, RIS to RRE"
"10","RIA3 - Rock Island Adult Right Ladder","RIS (adult)","mainstem, RIS to RRE"
"11","RRF - Rocky Reach Fishway","RRE (adult)","mainstem, RRE to WEL"
"12","WEA1 - Wells Dam, DCPUD Left Adult Ladder","WEL (adult)","mainstem, upstream of WEL"
"13","WEA2 - Wells Dam, DCPUD Right Adult Ladder","WEL (adult)","mainstem, upstream of WEL"
"14","ICH1 - Ice Harbor Dam North Ladder","ICH (adult)","mainstem, ICH to LGR"
"15","ICH2 - Ice Harbor Dam South Ladder","ICH (adult)","mainstem, ICH to LGR"
"16","GRA - Lower Granite Dam Adult","LGR (adult)","mainstem, upstream of LGR"
"17","ACM - Asotin Creek near mouth","ASO_RM","Asotin Creek Mouth"
"18","ACB - Asotin Cr. at Cloverland Brdg.","ASO_upstream","Asotin Creek Upstream"
"19","AFC - No./So. Fk Asotin Cr. Jct. ISA","ASO_upstream","Asotin Creek Upstream"
"20","CCA - Lower Charley Creek ISA","ASO_upstream","Asotin Creek Upstream"
"21","BBA - Big Bear Creek Array","CLE_sites","Clearwater River"
"22","BED - Bedrock Creek Seasonal IPTDS","CLE_sites","Clearwater River"
"23","CLC - Clear Creek near Kooskia NFH","CLE_sites","Clearwater River"
"24","CLJ - Clearwater River Trap","CLE_sites","Clearwater River"
"25","CRA - Crooked River Array","CLE_sites","Clearwater River"
"26","CRT - Crooked River Satellite Fac.","CLE_sites","Clearwater River"
"27","DWL - Dworshak NFH adult trap","CLE_sites","Clearwater River"
"28","EPR - East Fork Potlatch Array","CLE_sites","Clearwater River"
"29","HLM - Potlatch River near Helmer","CLE_sites","Clearwater River"
"30","JA1 - Jacks Creek Seasonal IPTDS","CLE_sites","Clearwater River"
"31","JUL - Potlatch River near Juliaetta","CLE_sites","Clearwater River"
"32","KHS - Big Bear Cr. @ Kendrick HS","CLE_sites","Clearwater River"
"33","LAP - Lapwai Creek, near its mouth","CLE_sites","Clearwater River"
"34","LAW - Lawyer Creek Seasonal IPTDS","CLE_sites","Clearwater River"
"35","LC1 - Lower Lolo Creek at rkm 21","CLE_sites","Clearwater River"
"36","LC2 - Upper Lolo Creek at rkm 25","CLE_sites","Clearwater River"
"37","LRL - Lower Lochsa River Array Site","CLE_sites","Clearwater River"
"38","LRU - Lochsa River Upper Site","CLE_sites","Clearwater River"
"39","MIS - Mission Creek","CLE_sites","Clearwater River"
"40","PCM - Pine Creek Mouth, Potlatch R.","CLE_sites","Clearwater River"
"41","RRT - Red River Satellite Facility","CLE_sites","Clearwater River"
"42","SC1 - Lower SF Clearwater R at rkm 1","CLE_sites","Clearwater River"
"43","SC2 - Lower SF Clearwater R at rkm 2","CLE_sites","Clearwater River"
"44","SC3 - South Fork Clearwater Site 3","CLE_sites","Clearwater River"
"45","SC4 - South Fork Clearwater Site 4","CLE_sites","Clearwater River"
"46","SIX - Sixmile Creek Seasonal IPTDS","CLE_sites","Clearwater River"
"47","SW1 - Lower Selway River Array","CLE_sites","Clearwater River"
"48","SW2 - Upper Selway River Array","CLE_sites","Clearwater River"
"49","SWT - Sweetwater Cr. near its mouth","CLE_sites","Clearwater River"
"50","WEB - Webb Creek","CLE_sites","Clearwater River"
"51","DRM - Deschutes River mouth","DES_RM","Deschutes River Mouth"
"52","DBH - Buck Hollow Ck Deschutes Trib","DES_upstream","Deschutes River Upstream"
"53","DBO - Bakeoven Ck Deschutes Trib","DES_upstream","Deschutes River Upstream"
"54","DSF - Deschutes Sherars Falls","DES_upstream","Deschutes River Upstream"
"55","PEL - Pelton Dam Ladder - Deschutes","DES_upstream","Deschutes River Upstream"
"56","RBF - Round Butte Fish Xfer Facility","DES_upstream","Deschutes River Upstream"
"57","SHK - Shitike Creek PIT Array","DES_upstream","Deschutes River Upstream"
"58","TR1 - Lower Trout Cr - Deschutes","DES_upstream","Deschutes River Upstream"
"59","TR2 - Trout/Antelope Cr - Deschutes","DES_upstream","Deschutes River Upstream"
"60","WSH - Warm Springs Hatchery","DES_upstream","Deschutes River Upstream"
"61","WSR - Warm Springs River PIT Array","DES_upstream","Deschutes River Upstream"
"62","ENL - Lower Entiat River","ENT_RM","Entiat River Mouth"
"63","3D1 - Top of 3D Side Channel","ENT_upstream","Entiat River Upstream"
"64","3D2 - Middle-1 of 3D Side Channel","ENT_upstream","Entiat River Upstream"
"65","3D3 - Middle-2 of 3D Side Channel","ENT_upstream","Entiat River Upstream"
"66","3D4 - Bottom of 3D Side Channel","ENT_upstream","Entiat River Upstream"
"67","EHL - Entiat NFH Adult Ladder","ENT_upstream","Entiat River Upstream"
"68","ENA - Upper Entiat River at rkm 17.1","ENT_upstream","Entiat River Upstream"
"69","ENF - Upper Entiat River at rkm 40.6","ENT_upstream","Entiat River Upstream"
"70","ENM - Middle Entiat River","ENT_upstream","Entiat River Upstream"
"71","ENS - Upper Entiat River at rkm 35.7","ENT_upstream","Entiat River Upstream"
"72","HA1 - Stormy B ELJ 110.111","ENT_upstream","Entiat River Upstream"
"73","HA2 - Stormy B ELJ 101","ENT_upstream","Entiat River Upstream"
"74","HAS - Stormy B ELJ 104","ENT_upstream","Entiat River Upstream"
"75","HN1 - Top of Harrison side channel","ENT_upstream","Entiat River Upstream"
"76","HN2 - Middle Harrison Side Channel","ENT_upstream","Entiat River Upstream"
"77","HN3 - Bottom Harrison Side Channel","ENT_upstream","Entiat River Upstream"
"78","HS1 - Top of side channel near ENFH","ENT_upstream","Entiat River Upstream"
"79","HS2 - Bottom side channel near ENFH","ENT_upstream","Entiat River Upstream"
"80","MAD - Mad River, Entiat River Basin","ENT_upstream","Entiat River Upstream"
"81","PD1 - Top of Chelan PUD side channel","ENT_upstream","Entiat River Upstream"
"82","PD2 - Bot of Chelan PUD side channel","ENT_upstream","Entiat River Upstream"
"83","RCT - Roaring Creek Temporary Array","ENT_upstream","Entiat River Upstream"
"84","SR1 - Top of Entiat R side channel","ENT_upstream","Entiat River Upstream"
"85","SR2 - Bot of Entiat R side channel","ENT_upstream","Entiat River Upstream"
"86","TLT - Tillicum Creek Temporary Array","ENT_upstream","Entiat River Upstream"
"87","TY1 - Low Flow Top of Tyee Channel","ENT_upstream","Entiat River Upstream"
"88","TY2 - High Flow Top of Tyee Channel","ENT_upstream","Entiat River Upstream"
"89","TY3 - Middle of Tyee Channel","ENT_upstream","Entiat River Upstream"
"90","TY4 - Bottom of Tyee Channel","ENT_upstream","Entiat River Upstream"
"91","UMR - Upper Mad Rv. Temporary Array","ENT_upstream","Entiat River Upstream"
"92","URT - Upper Roaring Temporary Array","ENT_upstream","Entiat River Upstream"
"93","WL1 - Top of Wilson Creek channel","ENT_upstream","Entiat River Upstream"
"94","WL2 - Bottom of Wilson Creek channel","ENT_upstream","Entiat River Upstream"
"95","158 - Fifteenmile Ck at Eightmile Ck","FIF_RM","Fifteenmile Creek Mouth"
"96","15D - Fifteenmile Ck at Dry Ck","FIF_upstream","Fifteenmile Creek Upstream"
"97","15R - Fifteenmile Ck at Ramsey Ck","FIF_upstream","Fifteenmile Creek Upstream"
"98","CC4 - Catherine Creek-Southern Cross","GRRO_sites","Grande Ronde River"
"99","CCP - Catherine Creek Acc. Pond","GRRO_sites","Grande Ronde River"
"100","CCU - Catherine Creek at Union","GRRO_sites","Grande Ronde River"
"101","CCW - Catherine Creek Ladder/Weir","GRRO_sites","Grande Ronde River"
"102","GRP - Grande Ronde Acc. Pond","GRRO_sites","Grande Ronde River"
"103","JOC - Joseph Creek ISA @ km 3","GRRO_sites","Grande Ronde River"
"104","LGW - Lookingglass Creek Weir","GRRO_sites","Grande Ronde River"
"105","LOP - Lostine River Acc. Pond","GRRO_sites","Grande Ronde River"
"106","MDC - Meadow Creek mouth ","GRRO_sites","Grande Ronde River"
"107","MR1 - Minam River at river km 0.5","GRRO_sites","Grande Ronde River"
"108","UG3 - Grande Ronde - Guard Station","GRRO_sites","Grande Ronde River"
"109","UG4 - Grande Ronde-Acclimation Site","GRRO_sites","Grande Ronde River"
"110","UGR - Upper Grande Ronde at rkm 155","GRRO_sites","Grande Ronde River"
"111","UGS - Upper Grande Ronde Starkey","GRRO_sites","Grande Ronde River"
"112","WEN - Wenaha River Mouth","GRRO_sites","Grande Ronde River"
"113","WR1 - Wallowa River at river km 14","GRRO_sites","Grande Ronde River"
"114","WR2 - Wallowa River at rkm 32","GRRO_sites","Grande Ronde River"
"115","HRM - Hood River Mouth","HOOD_RM","Hood River Mouth"
"116","EFD - East Fork Diversion Fishway","HOOD_upstream","Hood River Upstream"
"117","FID - Farmer's Diversion, Hood River","HOOD_upstream","Hood River Upstream"
"118","MVF - Moving Falls Fish Ladder","HOOD_upstream","Hood River Upstream"
"119","SND - Sandtrap Acclimation Site","HOOD_upstream","Hood River Upstream"
"120","IR1 - Lower Imnaha River ISA @ km 7","IMN_RM","Imnaha River Mouth"
"121","BSC - Big Sheep Creek ISA at km 6","IMN_upstream","Imnaha River Upstream"
"122","CMP - Camp Creek at rkm 2 - Imnaha","IMN_upstream","Imnaha River Upstream"
"123","COC - Cow Creek ISA @ stream mouth","IMN_upstream","Imnaha River Upstream"
"124","CZY - Crazyman Creek at 0.6 km","IMN_upstream","Imnaha River Upstream"
"125","GCM - Grouse Creek Mouth","IMN_upstream","Imnaha River Upstream"
"126","IML - Imnaha River Weir Adult Ladder","IMN_upstream","Imnaha River Upstream"
"127","IR2 - Lower Imnaha River ISA @ km 10","IMN_upstream","Imnaha River Upstream"
"128","IR3 - Upper Imnaha River ISA @ km 41","IMN_upstream","Imnaha River Upstream"
"129","IR4 - Imnaha Weir Downstream Array","IMN_upstream","Imnaha River Upstream"
"130","IR5 - Imnaha Weir Upstream Array","IMN_upstream","Imnaha River Upstream"
"131","LSC - Little Sheep Cr Seasonal IPTDS","IMN_upstream","Imnaha River Upstream"
"132","JD1 - John Day River, McDonald Ferry","JDR_RM","John Day River Mouth"
"133","30M - Thirtymile Crk John Day Basin","JDR_upstream","John Day River Upstream"
"134","BR0 - Bridge Creek Gauge","JDR_upstream","John Day River Upstream"
"135","BR1 - Bridge Creek Kiosk","JDR_upstream","John Day River Upstream"
"136","BR2 - Bridge Creek Gable","JDR_upstream","John Day River Upstream"
"137","BR3 - Bridge Creek Ranch","JDR_upstream","John Day River Upstream"
"138","JDC - Cottonwood Creek, NF John Day","JDR_upstream","John Day River Upstream"
"139","JDM - Upper John Day River Array","JDR_upstream","John Day River Upstream"
"140","MJ1 - Middle Fork John Day Array","JDR_upstream","John Day River Upstream"
