"","MOUTH","BON","MCN","PRA","RIS","RRE","WEL_quick","ICH","LGR_quick","WEL_slow","LGR_slow"
"1",0,0.944626666666667,0.960746,0.772758,0.276846666666667,0.149055,0.092797027027027,0.45957875,0.171277948717949,0.00602270588235294,0.000113636363636364
"2",0,0.94864,0.902146,0.70907,0.243486666666667,0.149055,0.0924062162162162,0.383245,0.178274871794872,0.00602270588235294,0.000113636363636364
"3",0,0.947545333333333,0.845216,0.692886,0.210403333333333,0.15319,0.0932191891891892,0.37676375,0.180114615384615,0.00837470588235294,0.000113636363636364
"4",0,0.945250666666667,0.79134,0.712136,0.209266666666667,0.15444,0.0936683783783784,0.39575375,0.180538717948718,0.0105507058823529,0.000113636363636364
"5",0,0.942642666666667,0.774466,0.752394,0.22431,0.154835,0.0940581081081081,0.39681625,0.186765128205128,0.0117007058823529,0.000113636363636364
"6",0,0.939456666666667,0.775242,0.786336,0.24931,0.154835,0.0944137837837838,0.39118625,0.190527948717949,0.0122335294117647,0.000113636363636364
"7",0,0.932884666666667,0.811192,0.809544,0.243503333333333,0.109835,0.0945389189189189,0.36131375,0.197087692307692,0.0122335294117647,0.000113636363636364
"8",0,0.923856666666667,0.795252,0.818468,0.24053,0.052375,0.0943745945945946,0.33493875,0.202269230769231,0.0122335294117647,0.000113636363636364
"9",0,0.919809333333333,0.74817,0.808076,0.223473333333333,0.0673025,0.0969951351351351,0.3404125,0.208707179487179,0.0122335294117647,0.00010030303030303
"10",0,0.917152666666667,0.698386,0.757384,0.194263333333333,0.096,0.0978510810810811,0.3625325,0.214258461538462,0.0122335294117647,0.00010030303030303
"11",0,0.917252666666667,0.653486,0.749484,0.201373333333333,0.0985,0.0982881081081081,0.33925625,0.220127179487179,0.0122335294117647,0.00010030303030303
"12",0,0.918561333333333,0.627486,0.7844,0.228886666666667,0.106365,0.09826,0.308865,0.224661282051282,0.0115771764705882,0.00010030303030303
"13",0,0.922378,0.652376,0.823334,0.266263333333333,0.1160425,0.0981675675675676,0.313125,0.22875,0.0115771764705882,0.00010030303030303
"14",0,0.923580666666667,0.71205,0.802318,0.265666666666667,0.119095,0.0978332432432432,0.34238875,0.234045897435897,0.0115585882352941,0.00010030303030303
"15",0,0.924936666666667,0.649492,0.752252,0.267863333333333,0.1160525,0.0972589189189189,0.35483125,0.237932564102564,0.0115585882352941,0.00010030303030303
"16",0,0.92662,0.659024,0.762242,0.258363333333333,0.1077725,0.0977137837837838,0.342165,0.242872820512821,0.0108031764705882,0.00010030303030303
"17",0,0.927098,0.696632,0.77491,0.234543333333333,0.11174,0.0983048648648649,0.3391125,0.238842307692308,0.0108031764705882,0.00010030303030303
"18",0,0.93064,0.665892,0.791902,0.23682,0.109885,0.0985445945945946,0.312185,0.238719487179487,0.0108031764705882,0.00010030303030303
"19",0,0.933804,0.607918,0.846402,0.26082,0.1168025,0.0981516216216216,0.31490375,0.23850358974359,0.0108031764705882,0.00010030303030303
"20",0,0.935264666666667,0.627468,0.957076,0.302056666666667,0.1329675,0.0978564864864865,0.33408125,0.235080512820513,0.0108031764705882,0.00010030303030303
"21",0,0.930073333333333,0.568076,0.96271,0.317486666666667,0.1364775,0.097592972972973,0.34362875,0.230365641025641,0.0108031764705882,0.00010030303030303
"22",0,0.932356666666667,0.446226,0.943518,0.325013333333333,0.1421975,0.0973554054054054,0.34933375,0.228444871794872,0.0108031764705882,0.00010030303030303
"23",0,0.929620666666667,0.365676,0.91831,0.32629,0.1375625,0.0973554054054054,0.32541125,0.225097435897436,0.0107968235294118,0.00010030303030303
"24",0,0.932765333333333,0.298284,0.882944,0.305553333333333,0.13726,0.0970681081081081,0.30614,0.22400358974359,0.0107968235294118,0.00010030303030303
"25",0,0.93436,0.247484,0.88457,0.304373333333333,0.13823,0.0964340540540541,0.2954375,0.224714102564103,0.0107850588235294,0.00010030303030303
"26",0,0.933188,0.25136,0.895178,0.30404,0.135345,0.0959375675675676,0.303875,0.221397692307692,0.0107850588235294,0.00010030303030303
"27",0,0.934143333333333,0.543102,0.911794,0.314526666666667,0.139875,0.095502972972973,0.3005775,0.215377435897436,0.0104997647058824,0.00010030303030303
"28",0,0.931202,0.805276,0.900244,0.302416666666667,0.13773,0.0943835135135135,0.2805975,0.21337641025641,0.0101997647058824,0.00010030303030303
"29",0,0.92526,1.026268,0.89796,0.29435,0.132375,0.0931132432432432,0.26889375,0.20981358974359,0.0107418823529412,0.00010030303030303
"30",0,0.923496,1.179868,0.8383,0.28706,0.12229,0.0928205405405405,0.2557175,0.207963333333333,0.0107418823529412,0.00010030303030303
"31",0,0.923354,1.396502,0.780234,0.257766666666667,0.1082175,0.0930581081081081,0.246395,0.206229230769231,0.0107418823529412,0.00010030303030303
"32",0,0.923334666666667,1.238436,0.6964,0.227683333333333,0.105625,0.0931437837837838,0.24188,0.201598717948718,0.00956388235294118,0.00010030303030303
"33",0,0.923195333333333,1.205012,0.713558,0.231583333333333,0.103605,0.0925964864864865,0.23027,0.198941538461538,0.00882905882352941,0.00010030303030303
"34",0,0.918637333333333,1.246704,0.766642,0.251916666666667,0.1126275,0.0920616216216216,0.23242625,0.19348,0.00892317647058823,0.00010030303030303
"35",0,0.914715333333333,1.33977,0.770376,0.281693333333333,0.1238675,0.0912248648648649,0.224125,0.187768461538462,0.00904917647058824,0.00010030303030303
"36",0,0.914770666666667,1.27871,0.792634,0.27871,0.1231175,0.0903081081081081,0.22235,0.185621025641026,0.00907858823529412,0.00010030303030303
