"","run_year","mean_discharge_cfs","tributary","mean_discharge_zscore"
"1","05/06",92.381095890411,"Asotin Creek",-0.0377007443516597
"2","06/07",71.9706849315069,"Asotin Creek",-0.956508684002994
"3","07/08",100.800546448087,"Asotin Creek",0.34131455502036
"4","08/09",133.927671232877,"Asotin Creek",1.8325861090998
"5","09/10",62.4290410958904,"Asotin Creek",-1.38604134413128
"6","10/11",101.132328767123,"Asotin Creek",0.356250277264262
"7","11/12",134.946174863388,"Asotin Creek",1.87843571125439
"8","12/13",80.4468493150685,"Asotin Creek",-0.574940319255847
"9","13/14",93.2657534246575,"Asotin Creek",0.00212355747032407
"10","14/15",63.5852054794521,"Asotin Creek",-1.33399471864699
"11","15/16",66.6653005464481,"Asotin Creek",-1.19533921542684
"12","16/17",130.693698630137,"Asotin Creek",1.68700355762668
"13","17/18",97.1304109589041,"Asotin Creek",0.176097419811887
"14","18/19",92.4794520547945,"Asotin Creek",-0.0332730811884228
"15","19/20",85.825956284153,"Asotin Creek",-0.332791045467092
"16","20/21",84.9115068493151,"Asotin Creek",-0.373956478286181
"17","21/22",88.0284931506849,"Asotin Creek",-0.233640255979364
"18","22/23",113.127945205479,"Asotin Creek",0.896252516649131
"19","23/24",77.4049180327869,"Asotin Creek",-0.711877817460154
"20","05/06",6443.28767123288,"Deschutes River",1.55371977808411
"21","06/07",5771.04109589041,"Deschutes River",0.347954081489801
"22","07/08",5451.44808743169,"Deschutes River",-0.225279461982819
"23","08/09",5875.75342465753,"Deschutes River",0.535769889957968
"24","09/10",5572.54794520548,"Deschutes River",-0.00807039060645206
"25","10/11",6583.17808219178,"Deschutes River",1.80463226318051
"26","11/12",6399.48087431694,"Deschutes River",1.47514632760278
"27","12/13",5680.19178082192,"Deschutes River",0.185003474247402
"28","13/14",5789.39726027397,"Deschutes River",0.380878359792697
"29","14/15",5590.41095890411,"Deschutes River",0.0239693548465168
"30","15/16",5386.53005464481,"Deschutes River",-0.341718786325876
"31","16/17",6151.12328767123,"Deschutes River",1.02968320521531
"32","17/18",5479.3698630137,"Deschutes River",-0.175197958529069
"33","18/19",5350.95890410959,"Deschutes River",-0.405520484507694
"34","19/20",4837.15846994536,"Deschutes River",-1.32709146922396
"35","20/21",4697.23287671233,"Deschutes River",-1.57806705851579
"36","21/22",4740.65753424658,"Deschutes River",-1.50017902700819
"37","22/23",4982.49315068493,"Deschutes River",-1.066413945546
"38","23/24",5181.63934426229,"Deschutes River",-0.709218152171241
"39","05/06",330.520821917808,"Entiat River",-1.50141431281638
"40","06/07",628.080547945205,"Entiat River",1.28016474366182
"41","07/08",439.751366120219,"Entiat River",-0.480330585735768
"42","08/09",422.296438356164,"Entiat River",-0.643498707137932
"43","09/10",365.636712328767,"Entiat River",-1.17315206234061
"44","10/11",562.191780821918,"Entiat River",0.664238599575935
"45","11/12",619.141256830601,"Entiat River",1.19660052858435
"46","12/13",573.235616438356,"Entiat River",0.767476031146376
"47","13/14",431.547123287671,"Entiat River",-0.557023592353115
"48","14/15",547.159178082192,"Entiat River",0.523714297099165
"49","15/16",569.156010928962,"Entiat River",0.729340005834337
"50","16/17",556.950684931507,"Entiat River",0.615244998336973
"51","17/18",672.133424657534,"Entiat River",1.69196966389268
"52","18/19",370.527671232877,"Entiat River",-1.12743153075055
"53","19/20",375.367213114754,"Entiat River",-1.0821916438838
"54","20/21",462.489315068493,"Entiat River",-0.26777694675316
"55","21/22",459.228767123288,"Entiat River",-0.29825644745075
"56","22/23",595.18602739726,"Entiat River",0.972667789518797
"57","23/24",350.960928961749,"Entiat River",-1.31034082842837
"58","05/06",610.716770224172,"Imnaha River",0.726252582862517
"59","06/07",506.712000516013,"Imnaha River",-0.185430063299918
"60","07/08",431.905240885417,"Imnaha River",-0.841169456428046
"61","08/09",583.402829229204,"Imnaha River",0.486824659765421
"62","09/10",448.348651960784,"Imnaha River",-0.697030177400809
"63","10/11",611.165119204505,"Imnaha River",0.730182710162843
"64","11/12",721.040055495607,"Imnaha River",1.69332192912255
"65","12/13",489.882418683755,"Imnaha River",-0.332954429169806
"66","13/14",347.619697627315,"Imnaha River",-1.57999775561476
"67","05/06",2657.66301369863,"John Day River",0.981012245043318
"68","06/07",1676.2301369863,"John Day River",-0.450296952409245
"69","07/08",1961.81202185792,"John Day River",-0.0338079717141306
"70","08/09",2136.87945205479,"John Day River",0.22150813696827
