"","tag_code_2","natal_origin","rear_type"
"1","384.1B7969BC09",1,1
"2","384.1B796A0243",11,2
"3","384.1B796A025C",11,2
"4","384.1B796A0332",11,2
"5","384.1B796A043C",11,2
"6","384.1B796A0443",11,2
"7","384.1B796A044C",11,2
"8","384.1B796A0548",11,2
"9","384.1B796A0568",11,2
"10","384.1B796A0620",11,2
"11","384.1B796A0627",11,2
"12","384.1B796A0673",11,2
"13","384.1B796A06E6",11,2
"14","384.1B796A06FF",11,2
"15","384.1B796A0722",11,2
"16","384.1B796A076F",11,2
"17","384.1B796A08AF",11,2
"18","384.1B796A09F5",11,2
"19","384.1B796A0B67",11,2
"20","384.1B796A0BAB",11,2
"21","384.1B796A0BB0",11,2
"22","384.1B796A0C08",11,2
"23","384.1B796A0C54",11,2
"24","384.1B796A0CB8",11,2
"25","384.1B796A0D44",11,2
"26","384.1B796A0D89",11,2
"27","384.1B796A0DBB",11,2
"28","384.1B796A0F3B",11,2
"29","384.1B796A0F4E",11,2
"30","384.1B796A10D0",11,2
"31","384.1B796A112E",11,2
"32","384.1B796A117E",11,2
"33","384.1B796A125F",11,2
"34","384.1B796A1267",11,2
"35","384.1B796A1269",11,2
"36","384.1B796A12C3",11,2
"37","384.1B796A1326",11,2
"38","384.1B796A13E7",11,2
"39","384.1B796A1406",11,2
"40","384.1B796A1444",11,2
"41","384.1B796A1594",11,2
"42","384.1B796A15C3",11,2
"43","384.1B796A1628",11,2
"44","384.1B796A1790",11,2
"45","384.1B796A1794",11,2
"46","384.1B796A17B8",11,2
"47","384.1B796A17F9",11,2
"48","384.1B796A1844",11,2
"49","384.1B796A1950",11,2
"50","384.1B796A1A13",11,2
"51","384.1B796A1A8D",11,2
"52","384.1B796A1B9F",11,2
"53","384.1B796A1BB5",11,2
"54","384.1B796A1C83",11,2
"55","384.1B796A1CE2",11,2
"56","384.1B796A1DBC",11,2
"57","384.1B796A1DCD",11,2
"58","384.1B796A1DD9",11,2
"59","384.1B796A1F25",11,2
"60","384.1B796A1F36",11,2
"61","384.1B796A1F4A",11,2
"62","384.1B796A1F81",11,2
"63","384.1B796A1FA4",11,2
"64","384.1B796A2006",11,2
"65","384.1B796A202D",11,2
