"date","MOUTH","BON","MCN","PRA","RIS","RRE","ICH","WEL","LGR"
2005-06-01,NA,15.397519116561,14.6087393898151,13.7333949801156,13.3560340546168,13.3444445052888,14.7027188377783,13.1598753068584,13.8091423349865
2005-06-02,NA,15.3894520572183,14.6006723304724,13.725327920773,13.3479669952741,13.3363774459461,14.6946517784356,13.1518082475157,13.8010752756438
2005-06-03,NA,15.3657801106101,14.5770003838643,13.7016559741648,13.324295048666,13.3127054993379,14.6709798318275,13.1281363009075,13.7774033290356
2005-06-04,NA,15.3850059133346,14.5962261865887,13.7208817768893,13.3435208513904,13.3319313020624,14.6902056345519,13.147362103632,13.7966291317601
2005-06-05,NA,15.4201488927209,14.6313691659751,13.7560247562756,13.3786638307767,13.3670742814487,14.7253486139383,13.1825050830183,13.8317721111464
2005-06-06,NA,15.4407189050564,14.6519391783106,13.7765947686111,13.3992338431122,13.3876442937842,14.7459186262738,13.2030750953538,13.8523421234819
2005-06-07,NA,15.4536430195191,14.6648632927732,13.7895188830738,13.4121579575749,13.4005684082469,14.7588427407364,13.2159992098165,13.8652662379446
2005-06-08,NA,15.467813877896,14.6790341511501,13.8036897414506,13.4263288159518,13.4147392666238,14.7730135991133,13.2301700681934,13.8794370963215
2005-06-09,NA,15.5377317362316,14.7489520094857,13.8736075997862,13.4962466742874,13.4846571249594,14.8429314574489,13.300087926529,13.9493549546571
2005-06-10,NA,15.6320879883765,14.8433082616306,13.9679638519312,13.5906029264323,13.5790133771043,14.9372877095938,13.3944441786739,14.043711206802
2005-06-11,NA,15.7217410984243,14.9329613716784,14.0576169619789,13.6802560364801,13.668666487152,15.0269408196416,13.4840972887216,14.1333643168497
2005-06-12,NA,15.7877036220663,14.9989238953205,14.123579485621,13.7462185601222,13.7346290107941,15.0929033432837,13.5500598123637,14.1993268404918
2005-06-13,NA,15.8558738227064,15.0670940959606,14.1917496862611,13.8143887607623,13.8027992114342,15.1610735439238,13.6182300130038,14.2674970411319
2005-06-14,NA,15.9012634609528,15.112483734207,14.2371393245075,13.8597783990086,13.8481888496806,15.2064631821702,13.6636196512502,14.3128866793783
2005-06-15,NA,15.9628784048661,15.1740986781202,14.2987542684207,13.9213933429219,13.9098037935938,15.2680781260834,13.7252345951634,14.3745016232915
2005-06-16,NA,16.0794600578249,15.290680331079,14.4153359213795,14.0379749958807,14.0263854465527,15.3846597790422,13.8418162481223,14.4910832762504
2005-06-17,NA,16.1848972906038,15.396117563858,14.5207731541585,14.1434122286596,14.1318226793316,15.4900970118212,13.9472534809012,14.5965205090293
2005-06-18,NA,16.3458609672887,15.5570812405428,14.6817368308433,14.3043759053445,14.2927863560164,15.651060688506,14.108217157586,14.7574841857141
2005-06-19,NA,16.5391497077527,15.7503699810069,14.8750255713074,14.4976646458086,14.4860750964805,15.8443494289701,14.3015058980501,14.9507729261782
2005-06-20,NA,16.7977151629928,16.008935436247,15.1335910265475,14.7562301010486,14.7446405517206,16.1029148842102,14.5600713532902,15.2093383814183
2005-06-21,NA,17.027871607843,16.2390918810972,15.3637474713977,14.9863865458988,14.9747969965708,16.3330713290604,14.7902277981404,15.4394948262685
2005-06-22,NA,17.2014284173026,16.4126486905567,15.5373042808572,15.1599433553584,15.1483538060303,16.5066281385199,14.9637846075999,15.613051635728
2005-06-23,NA,17.3691656961625,16.5803859694167,15.7050415597172,15.3276806342183,15.3160910848903,16.6743654173799,15.1315218864599,15.780788914588
2005-06-24,NA,17.5414208656778,16.752641138932,15.8772967292325,15.4999358037337,15.4883462544056,16.8466205868952,15.3037770559752,15.9530440841033
2005-06-25,NA,17.6592298604963,16.8704501337505,15.995105724051,15.6177447985521,15.6061552492241,16.9644295817137,15.4215860507937,16.0708530789218
2005-06-26,NA,17.777947998792,16.9891682720461,16.1138238623467,15.7364629368478,15.7248733875198,17.0831477200094,15.5403041890894,16.1895712172175
2005-06-27,NA,17.8698050864912,17.0810253597453,16.2056809500458,15.828320024547,15.8167304752189,17.1750048077085,15.6321612767885,16.2814283049166
2005-06-28,NA,17.9346033608727,17.1458236341268,16.2704792244273,15.8931182989285,15.8815287496004,17.23980308209,15.69695955117,16.3462265792981
2005-06-29,NA,18.0541637154712,17.2653839887253,16.3900395790258,16.012678653527,16.001089104199,17.3593634366885,15.8165199057686,16.4657869338967
2005-06-30,NA,18.236306508766,17.4475267820201,16.5721823723207,16.1948214468218,16.1832318974938,17.5415062299833,15.9986626990634,16.6479297271915
2005-07-01,NA,18.406495153594,17.6177154268482,16.7423710171487,16.3650100916499,16.3534205423218,17.7116948748114,16.1688513438914,16.8181183720195
2005-07-02,NA,18.5583271628972,17.7695474361513,16.8942030264519,16.516842100953,16.505252551625,17.8635268841145,16.3206833531946,16.9699503813227
2005-07-03,NA,18.6870176284928,17.898237901747,17.0228934920475,16.6455325665486,16.6339430172206,17.9922173497102,16.4493738187902,17.0986408469183
2005-07-04,NA,18.8800186621577,18.0912389354118,17.2158945257124,16.8385336002135,16.8269440508855,18.185218383375,16.6423748524551,17.2916418805832
2005-07-05,NA,19.0447257313719,18.255946004626,17.3806015949265,17.0032406694277,16.9916511200996,18.3499254525892,16.8070819216692,17.4563489497973
2005-07-06,NA,19.1287650622604,18.3399853355146,17.4646409258151,17.0872800003162,17.0756904509882,18.4339647834778,16.8911212525578,17.5403882806859
2005-07-07,NA,19.2147288136829,18.425949086937,17.5506046772376,17.1732437517387,17.1616542024107,18.5199285349002,16.9770850039803,17.6263520321084
